Variable,SD (1),D (2),N (3),A (4),SA (5),Total,Mean,RII,Remarks
Maintenance History Records (MHR),0,1,1,0,48,245,4.9,0.98,Significant
CMMS Availability (CMMS),0,2,2,8,38,232,4.64,0.928,Significant
Preventive Maintenance Schedule (PMS),0,1,1,19,29,226,4.52,0.904,Significant
Spare Parts Availability (SPA),2,2,0,11,35,225,4.5,0.9,Significant
Unplanned Breakdowns (UB),1,0,4,16,29,222,4.44,0.888,Significant
Technician Competency (TC),0,0,0,28,22,222,4.44,0.888,Significant
Maintenance Errors and Rework (MER),0,1,2,23,24,220,4.4,0.88,Significant
Maintenance Budget (MB),0,1,3,22,24,219,4.38,0.876,Significant
Standardized Maintenance Procedures (SMP),0,43,4,2,1,111,2.22,0.444,Not Significant
Spare Parts Quality (SPQ),0,46,1,1,2,109,2.18,0.436,Not Significant
Minor Stoppages and Idling (MSI),0,47,2,1,0,104,2.08,0.416,Not Significant
Mechanical Component Wear (MCW),0,48,1,0,1,104,2.08,0.416,Not Significant
Reliability-Centred Maintenance (RCM),0,48,1,1,0,103,2.06,0.412,Not Significant
Equipment Performance Rate (EPR),0,49,0,1,0,102,2.04,0.408,Not Significant
